lever,category,mechanism,proband_anchor,evidence,actionability,direction,pmid,doi,year
AAV9-WWOX gene therapy (neuronal),Gene replacement,AAV9-SynI delivers functional WWOX cDNA to neurons; bypasses both mutant alleles,Definitive fix for both alleles (splice-null + Q230P),3.2,1.0,promising,34747138,10.15252/emmm.202114599,2021
Lithium (GSK3β inhibition),Repurposed drug,WWOX loss elevates GSK3β; lithium inhibits GSK3β and abolished seizures in Wwox-deficient mice,Acts downstream of WWOX loss — genotype-agnostic; works even with both alleles impaired,3.0,2.6,promising,32000863,10.1186/s40478-020-0883-3,2020
Ectopic WWOX in WOREE organoids,Proof-of-concept,Restoring WWOX expression rescued cortical/molecular CNS abnormalities in patient-derived WOREE brain organoids,Validates that restoring WWOX reverses the WOREE cellular phenotype,2.2,0.5,promising,34268881,10.15252/emmm.202013610,2021
Vigabatrin (anti-seizure),Symptomatic / time-buying,GABA-transaminase inhibitor; controlled infantile spasms in a WOREE patient,Directly protects the developmental window NOW; standard-of-care lever,2.5,3.0,promising,39101447,10.1002/mgg3.2500,2024
Zfra peptide (WWOX-partner stabilization),Experimental peptide,"31-aa zinc-finger-like peptide; strengthens WWOX partner binding, restored memory & reduced neuroinflammation in AD mice","Could stabilize residual Q230P protein function — but only AD/cancer data, no epilepsy",2.0,0.3,mixed,35883580,10.3390/cells11142137,2022
GSK3β/JNK/MEK axis (Tau),Repurposed drug class,WWOX loss → GSK3β/JNK/ERK-driven Tau hyperphosphorylation & aggregation; kinase inhibitors block it in vitro,Same downstream axis as lithium; multiple druggable nodes,1.8,1.5,promising,22193544,10.1038/cdd.2011.188,2011
ASO splice-correction (splice allele),Precision antisense,c.1057-2A>G disrupts the exon-9 acceptor; a splice-switching ASO could restore correct splicing (Milasen precedent),Mechanism-matched to the splice-null allele specifically,1.0,0.3,background,39101447,10.1002/mgg3.2500,2024
Aldaz P47T partial-LoF model,Model system,"Knock-in of a partial-LoF WWOX allele phenocopies human SCAR12 (epilepsy, neuroinflammation) and survives >1 yr",Best animal model to test repurposed drugs on a HYPOMORPHIC allele like Q230P,3.0,0.2,background,36828035,10.1016/j.pneurobio.2023.102425,2023
Wnt/β-catenin inhibition,Repurposed pathway,WWOX blocks Dishevelled nuclear translocation; WWOX loss de-represses Wnt/β-catenin,Downstream pathway; MYC/Wnt implicated in organoid rescue,1.5,1.0,background,19465938,10.1038/onc.2009.120,2009
Neuroinflammation control,Repurposed / supportive,Partial-LoF WWOX models show progressive astro-microgliosis worsening with age,Anti-neuroinflammatory strategies may slow progression in Q230P hypomorph,2.5,1.2,mixed,36828035,10.1016/j.pneurobio.2023.102425,2023
