group	original_path	blob_in_06ee25a	state_now	recover_with	disposition	detail
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260825-32000863-POINTER-01.md	1053e823e79b1d6be8d09b30de029cbfda0f9963	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260825-32000863-POINTER-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260825-ADVERSARIAL-FALSIFICATION-01.md	b3be79558c85d014f115d309bf70091f61d41eae	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260825-ADVERSARIAL-FALSIFICATION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260825-CLAIM016-DRIFT-01.md	0e6f0734e0d6757b440c27d83e79bc1e99f94433	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260825-CLAIM016-DRIFT-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260825-GRAPH-MATERIALIZATION-01.md	c43b8a249256930d8a9a3d6dca3cdbfe81ad99f0	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260825-GRAPH-MATERIALIZATION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-AAV9-ENDPOINT-SPLIT-01.md	181319c32e39410add18070ac292bb1bc78177d9	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-AAV9-ENDPOINT-SPLIT-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-BLIND-REPLICATION-NOTRUN-01.md	1688ce38a5eb5a0ccd158649e139a4be7bd3e102	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-BLIND-REPLICATION-NOTRUN-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CANDIDATE-METADATA-01.md	e4f1c0abd314bf4db79221ce8a635d7f3f53a374	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CANDIDATE-METADATA-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM002-01.md	8b01abe604ecb4971856abe83c01a00a466eeb8b	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM002-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM003-01.md	a3276bf566f2ed3c965b57aa17859cb3996bbb6e	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM003-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM006-01.md	f3778f3a580959078dfc6a2f066e62abc2cda78a	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM006-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
